property_type|rent_type|location,price,n_rooms,n_bath,surface,details,url,metrocuadrado_index
"Apartamento en Arriendo, LOS CEDRITOS Bogotá D.C..",$2.790.000,1,2,55.0 m2,"Ref RUTH - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Moderno apartamento con un gran gimnasio ubicado en Cedritos. Es la opción perfecta para ejecutivos jóvenes que buscan un lugar económico y moderno para instalarse en Bogotá",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-1-habitaciones-2-banos-1-garajes/3208-595746,70.2
"Apartamento en Arriendo, PASADENA Bogotá D.C..",$1.250.000,1,1,50.0 m2,"Apartaestudio interior en segundo piso, de cincuenta Mdos, un baño, habitación independiente, clóset de techo a piso, sala comedor en un sólo ambiente con un pequeño balcón, cocina integral abierta a gas, zona de lavandería, pisos laminados. Garaje y depósito.Sector residencial, a unos pasos de la Calle cien, a unas cuadras del Centro Comercial Iserra cien, estación de transmilenio cercana, muy buen transporte sitp,alimentador, Supermercado Olimpica, estaciones de Servicio.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pasadena-1-habitaciones-1-banos-1-garajes/2195-3501,44.1
"Apartamento en Arriendo, LAS NIEVES Bogotá D.C..",$1.450.000,1,1,40.0 m2,"TORRE BACATA, super apartamento en el primer rascacielos de Bogotá. Encuentre todo en un solo lugar - En la Torre Bacatá, usted cuenta con supermercado carulla, centro comercial, servicios de lavandería, restaurantes, y próximamente dos hoteles de alta categoría 5 estrellas y larga estancia. Apartamento ubicado en el corazón de Bogotá. sector gubernamental, residencial, turísticos y universitario. APARTAMENTO SIN AMOBLAR O PREGUNTE POR LA OPCIÓN AMOBLADO ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-nieves-1-habitaciones-1-banos-1-garajes/243-M2072037,54.5
"Apartamento en Arriendo, SANTA BIBIANA Bogotá D.C..",$3.490.000,1,2,55.0 m2,"Ref DAISY B - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Moderno departamento perfecto para ejecutivos ubicado solo una cuadra de la Calle 100. Edificio clubhouse con cancha de squash, gimnasio, zona humida y terraza con BBQ.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-1-habitaciones-2-banos-1-garajes/3208-595713,69.9
"Apartamento en Arriendo, SAN PATRICIO Bogotá D.C..",$3.490.000,1,2,60.0 m2,"Ref DANIELA B - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Edificio recién construido con gimnasio, BBQ. El estudio es tipo loft, espacioso con un buen balcón, muebles de alta calidad ubicado cerca de Unicentro.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-2-banos-1-garajes/3208-595715,75.3
"Apartamento en Arriendo, SANTA BARBARA ORIENTAL Bogotá D.C..",$3.090.000,1,1,40.0 m2,"Ref DIANA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Super apartamento en una locación privilegiada a pocos pasos de la zona de Usaquen donde puede disfrutar msica en vivo y cocina internacional rodeado de la arquitectura colonial.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-oriental-1-habitaciones-1-banos-1-garajes/3208-595718,85.1
"Apartamento en Arriendo, SAN PATRICIO Bogotá D.C..",$3.190.000,1,1,50.0 m2,"Ref DAKOTA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Este moderno estudio con vibra industrial ubicado en el sector del El Chicó es simplemente perfecto para jóvenes profesionales.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-1-banos-1-garajes/3208-595714,70.7
"Apartamento en Arriendo, PARDO RUBIO Bogotá D.C..",$2.690.000,1,1,45.0 m2,"Ref GERALDINE - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Estupendo y moderno estudicio con blacón privado en el áera central de Chapinero Alto, ideal para ejecutivos y estudiantes de postrado en Bogotá.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-1-habitaciones-1-banos-1-garajes/3208-595723,71.6
"Apartamento en Arriendo, MARIA CRISTINA Bogotá D.C..",$3.490.000,1,1,50.0 m2,"Ref GENESIS - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Con la habitación en el mezanine, este microapartamento duplex es un derroche de diseño, combinando un espacio práctico y privado con los espacios compartidos del edificio, ideal",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-maria-cristina-1-habitaciones-1-banos/3208-595722,69.9
"Apartamento en Arriendo, RINCON DEL CHICO Bogotá D.C..",$3.090.000,1,1,40.0 m2,"Ref KATIA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Perfecto para ejecutivos o turistas, alta calidad en muy buen precio, cerca Parque 93 y Teleport centro de negocios.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-rincon-del-chico-1-habitaciones-1-banos-1-garajes/3208-595728,73.0
"Apartamento en Arriendo, LA SALLE Bogotá D.C..",$2.790.000,1,1,55.0 m2,"Ref GLORIANA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Estupendo y moderno apartamento perfecto para ejecutivos y visitantes que les encante la vibrante y céntrica zona de Chapinero Alto",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-salle-1-habitaciones-1-banos-1-garajes/3208-595725,52.7
"Apartamento en Venta Y Arriendo, MOLINOS NORTE Bogotá D.C..",$2.600.000,1,1,55.0 m2,"Excelente oportunidad apartamento Loft para Venta o Arriendo amoblado, ubicado en muy buen sector de Santa Barbara, luz natural, amplios espacios, 55 mts muy bien distribuidos, 1 habitación, 1 baño, sala, cocina integral abierta, zona de lavandería, 1 garaje. Edificio con Gimnasio, zona de Internet y Terraza con BBQ. Valor canon incluidos servicios y Admón.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-molinos-norte-1-habitaciones-1-banos-1-garajes/438-M2068524,71.5
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",$2.520.000,1,2,56.0 m2,"Apartamento amoblado de 56 m2, en Santa Bárbara central, 4to piso exterior muy iluminado, 1 habitación amplia con baño y balcón, zona social con balcón, baño social, cocina abierta, zona de lavandería independiente. 
Apto con luz y sol, pisos de madera laminada, cuenta con 1 parqueadero cubierto y depósito. 
Edificio 2 años, tiene terraza comunal, planta de suplencia parcial, estrato 6, ubicado en calle cerrada, cerca a parques, Unicentro, cra 11, cra 15, ubicación estratégica. Contactar Ximena",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-1-habitaciones-2-banos-1-garajes/3155-M2057805,45.8
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$2.627.400,1,2,51.0 m2,"LINDISIMO apartamento ubicado en el sector de Chico reservado, MODERNO diseño con amplios espacios, excelentes acabados. Consta  Salón comedor con balcón, alcoba con vestier y baño, cocina abierta, patio ropas independiente. Edificio con elegante lobby, zonas comunes , amplio gimnasio dotado y planta eléctrica. Cerca a Centros Comerciales, Parque 93, y de buenas vías de acceso como Cra 7 Cra 11, Calle 94 y Calle 100",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-1-habitaciones-2-banos-2-garajes/495-1473288,58.5
"Apartamento en Arriendo, SAN PATRICIO Bogotá D.C..",$2.500.000,1,2,55.0 m2,"Espectacular apartamento AMOBLADO CON TODOS LOS SERVICIOS INCLUIDOS DE INTERNET, TELEFONO, TV, LUZ, AGUA, GAS Y ADMINISTRACIÓN. sala comedor con chimenea y balcón, habitación con closet y baño, depósito. Edificio con salón comunal, terraza con BBQ, gimnasio. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-2-banos-1-garajes/3241-M2055661,65.6
"Apartamento en Venta Y Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",$2.300.000,1,2,60.0 m2,"Apto iluminado, amoblado, con estudio, balcon, gimnasio, jacuzzi, sauna, turco, billar, ping pong, piscina, canon incluye adminstracion, ",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-barbara-central-1-habitaciones-2-banos-1-garajes/717-M2054460,50.0
"Apartamento en Venta Y Arriendo, LA CAROLINA Bogotá D.C..",$2.500.000,1,1,37.0 m2,"Excelente oportunidad hermoso apartamento Amoblado para venta o arriendo,  Ubicado en hermoso y tranquilo sector de La Carolina, a tan solo unas cuadras de parques, centro comercial y vías principales. 37 metros más terraza exclusiva de 23 mts muy bien distribuidos, amplios espacios, luz natural, 1 habitación, 1 baño, sala comedor con chimenea, cocina integral semi abierta, estufa y calentador eléctrico, 1 garaje. Edificio con sauna, gimnasio, Valor canon amoblado incluidos servicios y Admón.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-carolina-1-habitaciones-1-banos-1-garajes/438-M2054671,79.1
"Apartamento en Arriendo, CAMPO ALEGRE Bogotá D.C..",$2.200.000,1,2,58.0 m2,"BUEN APTO AMOBLADO,  DE 58 METROS 3 PISO , EXTERIOR, SALA, COMEDOR, CHIMENEA A GAS, COCINA, BAÑO SOCIAL, ALCOBA CON BAÑO, ZONA DE LAVANDERIA INDEPENDIENTE, PISOS MADERA, UN PARQUEADERO, SUPER ILUMINADO Y MUY BIEN UBICADO, MUY RECURSIVO, CERCA DE TODO, TRNASPORTE, CENTROS  COMERCIALES, CLINICA, ENTIDADES FINANCIERAS. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campo-alegre-1-habitaciones-2-banos-1-garajes/990-M2050293,57.0
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$2.800.000,1,1,40.0 m2,"apartamento completamente amoblado, ubicado en zona exclusiva, con terraza de 18 mc, 1 garage, 1 pequeño deposito. El canon incluye administración, servicio de Tv, teléfono e internet.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/770-M2040349,86.9
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$2.300.000,1,2,60.0 m2,"Conozca este espectacular apartaestudio tipo loft amoblado ubicado en una de las zonas mas exclusivas de la ciudad, cuenta con excelentes acabados, linda vista gran iluminación natural. Consta de sala comedor habitacion, dos baños, un garaje. lindas zona. comuniquese con nosotros, conozca mas detalles. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/462-M2038763,65.0
"Apartamento en Arriendo, SAN PATRICIO Bogotá D.C..",$2.600.000,1,2,60.0 m2,"Ofrezco Exclusivo Apartaestudio AMOBLADO LOFT de 1 alcoba y totalmente dotado

Descripción Apartamento:
4to piso - 55M2
Sala - Comedor en un mismo ambiente
Cocina con Barra Comedor
Cocina abierta totalmente dotada
Area de lavanderia con lavadora-secadora
Alcoba con cama King
2 Baños
Internet wi-fi
Tv Cable
1 Estacionamiento

Descripción Edificio
Recepciòn
Sala de reuniones
Pequeño Gimnasio
Seguridad Privada 24 horas
Parqueaderos visitantes

Zona rodeada de comercio, restaurantes, cafés, centros comerciales",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-2-banos-1-garajes/3567-M2042170,61.4
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$2.800.000,1,2,54.0 m2,"se arrienda lindo  apartamento amoblado con una linda vista , 1 cuarto , baño completo , baño social, cocina , sala comedor con balcón , vista exterior.57
19-02-2018",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-2-banos-2-garajes/800-M2036084,42.3
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$3.500.000,1,2,60.0 m2,"Ubicado dentro del lujoso   "" Blue Doors 93 Luxury Suites"". Es un apartaestudio  amobado de una alcoba que funciona como apartamento privado con los amenities de un hotel. Ideal para personas que quieran estar cerca de las mejores zonas gastronomicas, centros de negocios, zonas verdes,  actividades culturales, o disfrutar del hermoso Parque de la 93, el cual semanalmente ofrece variadas actividades. la propiedad cuenta,con salas de juntas, sala de teatro,restaurante,bar, sala de juegos",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-2-banos-1-garajes/5413-557099,85.8
"Apartamento en Arriendo, CAMPO ALEGRE Bogotá D.C..",$2.600.000,1,2,50.0 m2,"Sabemos que te va a encantar este apartamento para arriendo totalmente amoblado y remodelado, ubicado muy cerca al Centro Comercial Hacienda Santa Barbara. Visita nuestra página web, código 2228",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campo-alegre-1-habitaciones-2-banos-1-garajes/847-2228,71.4
"Apartamento en Arriendo, LAS AMERICAS Bogotá D.C..",$1.250.000,1,1,25.0 m2,"Apartahotel en Bogotá con todo incluido (Luz, Agua e Internet), aseo una vez por semana, amoblados, para estrenar, primer piso zona de restaurante.  Excelente ubicación 
",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-americas-1-habitaciones-1-banos/634-M2025673,51.9
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",$2.900.000,1,2,50.0 m2,"APTO AMOBLADO  Moderno con excelente diseño y acabados, todos sus espacios cuenta con muy buena luz natural, ubicado en una de las mejores zonas de la ciudad, cerca a excelentes vías de acceso. El edificio cuenta con salón comunal, magnifica terraza con BBQ, gimnasio.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-1-habitaciones-2-banos-1-garajes/495-1473245,65.5
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$2.300.000,1,2,60.0 m2,"Conozca este espectacular apartaestudio tipo loft amoblado ubicado en una de las zonas mas exclusivas de la ciudad, cuenta con excelentes acabados, linda vista gran iluminación natural. Consta de sala comedor habitacion, dos baños, un garaje. lindas zona. comuniquese con nosotros, conozca mas detalles. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/462-M2033626,76.8
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$2.600.000,1,1,54.0 m2,APARTAESTUDIO  MODERNO AMOBLADO MUY ILUMINADO. CON BALCON EN SALA COMEDOR. HABITACIÓN Y ESTUDIO. AMPLIAS AREAS COMUNALES PISCINA ZONA PARA BBQ. GIMNASIO. SALAS DE JUNTAS. SITUADO EN SECTOR MUY CERCA A LA CALLE 100.,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-1-habitaciones-1-banos-1-garajes/2162-M2034227,72.5
"Apartamento en Arriendo, CHICO Bogotá D.C..",$3.500.000,1,1,45.0 m2,"Hermoso apartaestudio amoblado, el valor incluye servicios (agua, luz, gas, tv e internet), 2 garajes, depósito, excelente ubicación, muy iluminado. Info Rafael ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-1-habitaciones-1-banos-2-garajes/851-M2033022,83.9
"Apartamento en Arriendo, QUINTA CAMACHO Bogotá D.C..",$2.800.000,1,1,45.0 m2,"APARTA ESTUDIO AMOBLADO, SUPER BONITO, MUY BIEN DISTRIBUIDO, AMPLIO, ILUMINADO, CUENTA CON 1 ALCOBA, 1 BAÑO, ZONA SOCIAL, COCINA ABIERTA, 1 PARQUEADERO,  EL CANON DE ARRENDAMIENTO INCLUYE ADMINISTRACION, ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-quinta-camacho-1-habitaciones-1-banos-1-garajes/2147-M2032063,74.7
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$1.200.000,1,1,39.0 m2,"Amoblado, 1 alcoba, 1 baño, sala comedor, 1 garaje, vías de acceso Avenida 9, Carrera 7, Pepe Sierra, Carrera 11, cerca a los centros comerciales Unicentro, Santa Ana, Santa Barbara, Usaquen, Fundación Santa Fe",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-1-banos-1-garajes/3312-M2032356,32.6
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",$1.900.000,1,2,51.0 m2,"Excelente apartaestudio exterior, 51.13 mts.  Tipo Lof. Para estrenar con muy buenos acabados, 2 baños, zona de lavandería independiente, chimenea , pisos en madera laminada . Dos garajes independientes  cubiertos.  Edificio cuenta con salón comunal , en la terraza zona para BBQ, parqueaderos  para visitantes . Ubicado Cerca a Unicentro, carrera 13, carrera 15, calle 127, calle 119. INMUEBLE AMOBLADO  , SIN AMOBLAR  .  Canon mas administración.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-1-habitaciones-2-banos-2-garajes/342-10092,49.7
"Apartamento en Arriendo, SAN PATRICIO Bogotá D.C..",$2.800.000,1,2,55.0 m2,"Apartaestudio amoblado, 55 metros,cuarto piso, 1,5 baños, cocina abierta,zona de lavanderia, un garaje, deposito. CONTACTAR A ALEJANDRA AL CEL 314 tres cuarenta y ocho noventa y seis noventa y cuatro",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-2-banos-1-garajes/2821-M2027059,71.9
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$2.700.000,1,1,51.0 m2,Hermoso apartamento club House. Contactar a alejandra al celular 314 tres cuarenta y ocho noventa y seis noventa y cuatro,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-1-habitaciones-1-banos-1-garajes/2821-M2027048,62.9
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$3.000.000,1,2,60.0 m2,"Hermoso apartamento  de 60 metros , piso 3 muy iluminado, consta de sala-comedor, cocina abierta, zona ropas, una habitación, dos baños y un garaje.
El edificio cuenta con piscina y jacuzzi, sauna y turco, gimnasio, squash, sala de reuniones con chimenea, roof garden bellisimo con zonas de BBQ y Tepanyaqui.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-1-habitaciones-2-banos-1-garajes/874-M2024124,80.8
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$2.500.000,1,2,53.0 m2,"Traemos para ti este lindo apartamento para arrendar, ubicado cerca al centro comercial Unicentro, gran variedad de almacenes y parques. Visita nuestra página web, código 2173",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/847-2173,72.2
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$3.300.000,1,2,50.0 m2,"LINDO APARTAESTUDIO AMOBALADO, TOTALMENTE REMODELADO, 50 METROS, 4 PISO. DOS BAÑOS, 1 PARQUEADERO, EXCELENTE UBICACION. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-2-banos-1-garajes/990-M2011673,86.1
"Apartamento en Arriendo, USAQUEN Bogotá D.C..",$2.000.000,1,1,37.0 m2,"BONITO APTO ESTUDIO AMOBLADO.
APTO ESTUDIO AMOBLADO CON BAÑO COCINETA, ZONA DE ROPAS COMUNAL CON LAVADORA Y SECADORA. SERVICIO DE LIMPIEZA UNA VEZ A LA SEMANA. SERVICIOS INCLUIDOS.
NO GARAJE - EDIFICIO INTELIGENTE
AGENTE
Claudia Dominguez
tres catorce, tres cuarenta y nueve, cuarenta y tres cincuenta y cinco.
",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-usaquen-1-habitaciones-1-banos/883-M2008704,57.1
"Apartamento en Venta Y Arriendo, CHICO NORTE III Bogotá D.C..",$2.500.000,1,1,38.0 m2,"se arrienda apartamento amoblado, con excelentes muebles de calidad con  una habitación con su baño, dos garajes un deposito , linda vista zona tranquila y segura cerca a los principales parques de la ciudad. a un excelente precio que esperas comunícate ya !! C&C 
25-01-2018",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-iii-1-habitaciones-1-banos-2-garajes/800-M2018232,67.7
"Apartamento en Arriendo, CAMPO ALEGRE Bogotá D.C..",$2.230.000,1,2,60.0 m2,"Magnifico apartamento remodelado para arriendo amoblado en Santa Barbara. Una alcoba, dos baños, sala, comedor, cocina cerrada, zona de lavandería, chimenea a gas, pisos en madera, closet de linos, un garaje y deposito. Fácil acceso, excelente localización cerca a zonas comerciales y empresariales. Se alquila para largas estadías.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campo-alegre-1-habitaciones-2-banos-1-garajes/920-42147586,37.0
"Apartamento en Arriendo, LA SALLE Bogotá D.C..",$2.500.000,1,1,55.0 m2,"Código 314 Rento Amoblado en la Salle _Chapinero Aparta-Estudio de 55 m2., 1 Habitación, 1 Baños, 2 Garaje, piso 3, Interior super iluminado, 

El edificio cuenta con  vigilancia las 24 horas del día.  ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-salle-1-habitaciones-1-banos-2-garajes/3553-M1999571,66.2
"Apartamento en Arriendo, LA CALLEJA Bogotá D.C..",$2.890.000,1,1,50.0 m2,"Ref BRENDA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Vivienda moderna con vistas de la ciudad ubicado en la zona residencial de La Calleja cerca Unicentro y la Clinica Reina Sofia",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-calleja-1-habitaciones-1-banos-1-garajes/3208-466264,75.1
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$3.240.000,1,2,45.0 m2,"Ref CLARA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Tipo loft, recién construido, buneas vistas, ultimo piso con balcón, pisos de madera y en una gran ubicación a tan solo 5 minutos caminando del centro comercial de Unicentro",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/3208-467443,68.0
"Apartamento en Arriendo, ESCUELA DE INFANTERIA Bogotá D.C..",$2.800.000,1,1,46.0 m2,"Aparta estudio amoblado,  alcoba amplia, baño, salón comedor, cocina tipo americano, garaje, depósito. El valor del arriendo incluye la cuota de administración.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-escuela-de-infanteria-1-habitaciones-1-banos-1-garajes/34-57712,60.8
"Apartamento en Venta Y Arriendo, BOSQUE CALDERON Bogotá D.C..",$2.100.000,1,2,57.0 m2,"Apto iluminado, con walking closet, balcon, edificio cuenta con terraza, gimnasio, ",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-1-habitaciones-2-banos-1-garajes/717-M1992014,52.1
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$3.090.000,1,1,45.0 m2,"Ref CINDY - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Todo lo que usted desearía de un apartamento recién construido, pisos de madera, y en una gran ubicación a tan solo 5 minutos caminando del centro comercial de Unicentro.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-1-banos-1-garajes/3208-468095,59.8
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$3.690.000,1,2,60.0 m2,"Ref CAMILA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Moderno y amplio este apartamento es perfecto para ejecutivos buscando alojamiento moderno con balcón y vistas cerca Unicentro",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/3208-467440,45.6
"Apartamento en Arriendo, LA SALLE Bogotá D.C..",$2.890.000,1,1,55.0 m2,"Ref NINA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Apartamento completamente renovado en un estilo lujoso. Situado cerca a la zona financiera Av Cr 72 Chile, zonas turísticas de la Zona Rosa Zona T y los restaurantes Zona G.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-salle-1-habitaciones-1-banos-1-garajes/3208-468108,78.1
"Apartamento en Arriendo, LOS ANDES Bogotá D.C..",$2.890.000,1,2,54.0 m2,"Ref SAFIRA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Perfecto para ejecutivos esta moderna propiedad esta ubicado cerca las tiendas y cine de Cafam, y fácil para moverse en la ciudad con la avenida Suba y Calle 100",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-andes-1-habitaciones-2-banos-1-garajes/3208-466283,81.4
"Apartamento en Arriendo, RINCON DEL CHICO Bogotá D.C..",$3.490.000,1,2,55.0 m2,"Ref EDMEA - Completamente AMOBLADO y dotado con sábanas y toallas, el canon incluye administración, servicios pblicos, internet wifi y tv por cable. Contratos flexibles a partir de 1 mes. Para estadías de más de 6 meses descuentos disponibles, por favor consultar. Opción de facturación empresarial. Buena ubciaccion, cerca los restaurantes y bares del Parque 93, y los negocios de Calle 100 - World Trade Center. Moderno y muy comodo con terminaciones de alta calidad.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-rincon-del-chico-1-habitaciones-2-banos-1-garajes/3208-466265,67.0
