,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,numeric,numeric,numeric
594,120,70.0,4435,6,5,2003,2003,170.0,685,0,163,848,848,0,0,848,1,0,1,0,1,1,4,0,2003.0,2,420,140,0,0,0,0,0,0,5,2009,140000,RM,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,None,Fin,TA,TA,None,None,1696,6,11
919,60,103.0,13125,7,5,1991,1991,0.0,48,634,422,1104,912,1215,0,2127,1,0,2,1,4,1,8,1,1991.0,3,833,72,192,224,0,0,0,0,11,2007,238000,RL,Pave,None,Lvl,Corner,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Ex,TA,Mn,BLQ,GLQ,Ex,Gd,Typ,TA,RFn,TA,TA,None,GdPrv,3231,16,12
629,60,70.0,11606,5,5,1969,1969,192.0,650,0,390,1040,1040,1040,0,2080,0,1,1,2,5,1,9,2,1969.0,2,504,335,0,0,0,0,0,0,9,2007,135000,RL,Pave,None,HLS,Inside,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Family,IR1,AllPub,Sev,TA,TA,Gd,TA,Av,Rec,Unf,TA,Fa,Typ,TA,Unf,TA,TA,None,None,3120,38,10
415,60,59.0,11228,7,5,1993,1993,0.0,50,531,499,1080,1080,1017,0,2097,0,1,2,1,3,1,9,1,1993.0,3,678,196,187,0,0,0,0,0,12,2008,228000,RL,Pave,None,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR2,AllPub,Gtl,Gd,TA,Gd,TA,No,BLQ,GLQ,Ex,Gd,Typ,TA,Unf,TA,TA,None,None,3177,15,12
1235,70,55.0,8525,5,6,1911,1950,0.0,0,0,940,940,1024,940,0,1964,0,0,1,1,4,1,7,0,0.0,0,0,0,192,0,0,0,0,0,11,2008,130000,RH,Pave,None,Bnk,Inside,SWISU,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,N,FuseA,None,N,None,WD,Abnorml,Reg,AllPub,Gtl,TA,TA,TA,TA,Av,Unf,Unf,TA,TA,Typ,None,None,None,None,None,None,2904,58,11
1378,50,60.0,10998,5,5,1941,1960,0.0,408,420,156,984,984,620,0,1604,0,0,2,0,3,1,6,0,1977.0,2,660,0,68,0,0,0,0,0,7,2009,117000,RL,Pave,Grvl,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,BLQ,Ex,TA,Min2,None,Unf,TA,TA,None,None,2588,49,10
658,70,60.0,7200,7,6,1931,2000,0.0,0,0,776,776,851,651,0,1502,0,0,1,1,3,1,6,1,1931.0,1,270,0,0,112,0,0,0,0,2,2008,149000,RL,Pave,None,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Stucco,Wd Shng,None,BrkTil,GasA,Y,SBrkr,Attchd,P,None,WD,Normal,Reg,AllPub,Mod,TA,Fa,Gd,TA,No,Unf,Unf,TA,TA,Typ,Gd,RFn,TA,TA,None,MnPrv,2278,8,13
414,30,56.0,8960,5,6,1927,1950,0.0,0,0,1008,1008,1028,0,0,1028,0,0,1,0,2,1,5,1,1927.0,2,360,0,0,130,0,0,0,0,3,2010,115000,RM,Pave,Grvl,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,FuseA,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,Gd,Unf,TA,TA,None,None,2036,60,11
365,60,80.0,18800,6,5,1976,1976,120.0,712,0,84,796,790,784,0,1574,1,0,2,1,3,1,6,1,1976.0,2,566,306,111,0,0,0,0,0,7,2006,190000,RL,Pave,None,Lvl,FR2,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,TA,TA,Typ,TA,Fin,TA,TA,None,None,2370,30,11
672,70,54.0,6629,6,6,1925,1950,0.0,551,0,121,672,697,672,0,1369,1,0,2,0,3,1,6,0,1930.0,1,300,147,0,0,0,0,0,0,7,2009,103600,RH,Pave,None,Lvl,Inside,Edwards,Artery,Norm,1Fam,2Story,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,N,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,Gd,TA,TA,No,BLQ,Unf,TA,TA,Typ,None,Unf,TA,TA,None,None,2041,59,12
631,70,50.0,9000,5,6,1880,1991,0.0,0,0,636,636,1089,661,0,1750,0,0,1,0,3,1,8,0,1937.0,1,240,0,0,293,0,0,0,0,6,2006,124000,RM,Pave,Grvl,Lvl,Corner,OldTown,Artery,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,FuseA,Detchd,N,None,WD,Abnorml,Reg,AllPub,Gtl,TA,TA,Fa,Fa,No,Unf,Unf,TA,Ex,Typ,None,Unf,Fa,Po,None,MnPrv,2386,15,11
923,20,65.0,10237,6,5,2005,2006,0.0,28,0,1288,1316,1316,0,0,1316,0,0,2,0,3,1,6,1,2005.0,2,397,100,0,0,23,0,0,0,10,2006,169990,RL,Pave,None,Lvl,Inside,Gilbert,RRAn,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,New,Partial,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,None,None,2632,0,11
624,160,73.5,2117,6,5,2000,2000,513.0,420,0,336,756,756,756,0,1512,0,0,2,1,2,1,4,1,2000.0,2,440,0,32,0,0,0,0,0,6,2007,168500,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,Unf,TA,TA,None,None,2268,7,11
710,20,71.0,7162,5,7,1966,1966,41.0,0,0,876,876,904,0,0,904,0,0,1,0,3,1,6,0,1966.0,1,408,0,0,0,0,0,0,0,12,2008,109900,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkCmn,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,None,Unf,TA,TA,None,MnPrv,1780,42,12
1012,90,75.0,9825,5,5,1965,1965,0.0,0,0,0,0,1664,0,0,1664,0,0,2,0,4,2,8,0,0.0,0,0,0,0,0,0,0,0,0,5,2010,100000,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,Hip,CompShg,AsphShn,AsphShn,None,CBlock,GasA,N,SBrkr,None,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,None,None,None,None,None,TA,TA,Typ,None,None,None,None,None,None,1664,45,10
840,50,70.0,11767,5,6,1946,1995,0.0,352,0,416,768,768,432,0,1200,0,0,1,0,3,1,6,0,1946.0,1,240,0,0,0,0,0,0,0,5,2008,130500,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Typ,None,Unf,TA,TA,None,None,1968,13,11
988,20,83.0,10159,9,5,2009,2010,450.0,1646,0,284,1930,1940,0,0,1940,1,0,2,1,3,1,8,1,2010.0,3,606,168,95,0,0,0,0,0,4,2010,395192,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,New,Partial,IR1,AllPub,Gtl,Ex,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,None,None,3870,0,14
1002,30,60.0,5400,5,6,1920,1950,0.0,0,0,691,691,691,0,0,691,0,0,1,0,2,1,4,0,1920.0,1,216,0,20,94,0,0,0,0,1,2007,86000,RL,Pave,None,Lvl,Corner,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,FuseA,Detchd,N,None,WD,Abnorml,Reg,AllPub,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Ex,Ex,Typ,None,Unf,Fa,TA,None,None,1382,57,11
1434,60,93.0,10261,6,5,2000,2000,318.0,0,0,936,936,962,830,0,1792,1,0,2,1,3,1,8,1,2000.0,2,451,0,0,0,0,0,0,0,5,2008,186500,RL,Pave,None,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,TA,Fin,TA,TA,None,None,2728,8,11
782,60,65.0,7153,6,5,1992,1992,0.0,387,0,374,761,810,793,0,1603,0,0,2,1,3,1,7,0,1992.0,2,484,0,124,0,0,0,0,0,7,2006,175900,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,Gd,Gd,TA,No,ALQ,Unf,Ex,Gd,Typ,None,RFn,TA,TA,None,None,2364,14,11
1257,20,91.0,14303,8,5,1994,1994,554.0,1314,0,672,1986,1987,0,0,1987,1,0,2,0,2,1,7,1,1994.0,2,691,262,36,0,0,0,0,0,8,2008,301500,RL,Pave,None,Lvl,Corner,NoRidge,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,None,None,3973,14,13
1175,70,80.0,16560,6,8,1932,1950,0.0,503,0,449,952,1170,1175,0,2345,0,0,2,1,4,1,9,1,1932.0,2,360,0,0,0,0,0,0,0,7,2006,239000,RL,Pave,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Rec,Unf,TA,TA,Typ,Gd,Unf,TA,TA,None,None,3297,56,14
309,30,65.5,12342,4,5,1940,1950,0.0,262,0,599,861,861,0,0,861,0,0,1,0,1,1,4,0,1961.0,2,539,158,0,0,0,0,0,0,3,2009,82500,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Typ,None,Unf,TA,TA,None,None,1722,59,9
627,20,73.0,12342,5,5,1960,1978,0.0,0,0,978,978,1422,0,0,1422,0,0,1,0,3,1,6,1,1960.0,1,286,0,0,36,0,0,0,600,8,2007,139900,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Attchd,Y,Shed,WD,Normal,IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Min1,TA,RFn,TA,TA,None,GdWo,2400,29,10
509,70,60.0,9600,7,9,1928,2005,0.0,141,0,548,689,689,689,0,1378,0,0,2,0,3,1,7,1,1928.0,2,360,0,0,116,0,0,0,0,10,2008,161000,RM,Pave,None,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gambrel,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,Detchd,N,None,WD,Normal,Reg,AllPub,Gtl,TA,Ex,TA,TA,No,Rec,Unf,Ex,Gd,Typ,Gd,Unf,TA,TA,None,None,2067,3,16
94,190,60.0,7200,6,6,1910,1998,0.0,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,1900.0,2,506,0,0,0,0,99,0,0,11,2007,133900,C (all),Pave,None,Lvl,Corner,OldTown,Norm,Norm,2fmCon,2.5Unf,Hip,CompShg,MetalSd,MetalSd,None,BrkTil,GasW,N,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,Fa,Mn,Rec,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,None,None,3505,9,12
403,30,60.0,10200,5,8,1940,1997,0.0,0,0,672,672,672,0,0,672,0,0,1,0,2,1,4,0,1940.0,1,240,168,0,0,0,0,0,0,8,2008,108000,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,SBrkr,Detchd,N,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,None,Unf,TA,TA,None,GdPrv,1344,11,13
681,120,50.0,8012,6,5,1980,1980,0.0,543,119,261,923,923,0,0,923,0,0,2,0,2,1,5,1,1980.0,1,264,80,0,0,0,0,0,0,5,2010,143000,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,TwnhsE,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,Gd,TA,No,BLQ,BLQ,TA,TA,Typ,TA,RFn,TA,TA,None,None,1846,30,11
348,20,73.0,17600,6,5,1960,1960,30.0,1270,0,208,1478,1478,0,0,1478,1,0,2,0,3,1,6,2,1960.0,2,498,0,40,0,0,0,0,0,12,2009,157500,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,FuseA,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,None,None,2956,49,11
946,50,98.0,8820,5,6,1890,1996,0.0,1088,0,0,1088,1188,561,120,1869,0,0,1,0,2,1,7,0,1963.0,2,456,48,0,244,0,0,0,0,9,2009,124900,RM,Pave,None,Lvl,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,Hip,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,TA,Typ,None,Unf,TA,TA,None,MnWw,2837,13,11
315,70,60.0,9600,7,7,1925,1990,0.0,16,0,712,728,832,809,0,1641,0,1,1,1,3,1,6,1,1925.0,2,546,0,0,234,0,0,0,0,8,2006,178000,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,Gd,No,LwQ,Unf,Ex,Ex,Typ,Gd,Unf,Fa,TA,None,None,2369,16,14
544,120,34.0,4058,7,5,1998,1998,182.0,584,139,0,723,767,0,0,767,1,0,1,0,1,1,4,0,1998.0,1,367,120,40,0,0,0,0,0,6,2007,133000,RH,Pave,None,Lvl,Inside,NAmes,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,LwQ,Ex,TA,Typ,None,Fin,TA,TA,None,None,1490,9,12
1126,20,60.0,10434,4,5,1955,1955,0.0,0,0,1005,1005,1005,0,0,1005,0,0,1,0,2,1,5,1,1977.0,2,672,0,0,0,0,0,0,0,11,2009,115000,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Fa,Typ,TA,Unf,Fa,Fa,None,None,2010,54,9
569,50,79.0,12327,8,8,1983,2009,0.0,1441,0,55,1496,1496,636,0,2132,1,0,1,1,1,1,5,1,1983.0,2,612,349,40,0,0,0,0,0,9,2009,316600,RL,Pave,None,Low,Inside,SawyerW,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,BuiltIn,Y,None,WD,Normal,IR1,AllPub,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Gd,Min2,Gd,Fin,Gd,TA,None,None,3628,0,16
571,90,74.0,13101,5,5,1965,1965,108.0,231,0,1497,1728,1728,0,0,1728,0,0,2,0,6,2,10,0,1987.0,2,576,0,0,0,0,0,0,0,11,2008,142600,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,TA,Typ,None,Unf,TA,TA,None,None,3456,43,10
1054,20,68.0,8562,5,6,1957,2002,145.0,383,0,833,1216,1526,0,0,1526,0,0,1,0,4,1,7,1,1957.0,1,364,116,78,0,0,0,0,0,5,2010,144500,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,FuseA,Basment,Y,None,WD,Normal,Reg,AllPub,Mod,TA,TA,TA,TA,Av,Rec,Unf,Ex,TA,Min2,Gd,Unf,TA,TA,None,None,2742,8,11
1221,20,66.0,7800,5,5,1964,1964,0.0,312,600,0,912,912,0,0,912,0,0,1,0,2,1,5,0,1964.0,1,288,0,0,0,0,0,0,0,11,2006,115000,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,LwQ,TA,TA,Typ,None,Unf,TA,TA,None,None,1824,42,10
112,80,65.0,7750,7,5,2000,2000,0.0,250,0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2000.0,2,400,180,0,0,0,0,0,0,4,2010,180000,RL,Pave,None,Lvl,Inside,Gilbert,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,TA,Typ,TA,Fin,TA,TA,None,None,1814,10,12
28,20,98.0,11478,8,5,2007,2008,200.0,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008.0,3,772,0,50,0,0,0,0,0,5,2010,306000,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,None,None,3408,2,13
12,60,85.0,11924,9,5,2005,2006,286.0,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005.0,3,736,147,21,0,0,0,0,0,7,2006,345000,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,New,Partial,IR1,AllPub,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,None,None,3499,0,14
1355,60,70.0,10316,7,5,2000,2000,0.0,735,0,257,992,992,873,0,1865,1,0,2,1,3,1,7,1,2000.0,3,839,0,184,0,0,0,0,0,6,2008,235000,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,None,None,2857,8,12
723,20,70.0,8120,4,7,1970,1970,0.0,191,0,673,864,864,0,0,864,0,0,1,0,3,1,5,0,1994.0,2,463,0,0,0,0,0,0,0,7,2009,124500,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,TA,Typ,None,Unf,TA,TA,None,None,1728,39,11
258,20,68.0,8814,7,5,2006,2006,180.0,1334,0,270,1604,1604,0,0,1604,1,0,2,1,3,1,8,1,2006.0,2,660,123,110,0,0,0,0,0,3,2009,220000,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,None,None,3208,3,12
1078,20,73.0,15870,5,5,1969,1969,0.0,75,791,230,1096,1096,0,0,1096,1,0,1,0,3,1,6,0,1969.0,1,299,240,32,0,0,0,0,0,3,2006,138800,RL,Pave,None,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,IR1,AllPub,Gtl,TA,TA,TA,TA,Mn,BLQ,Rec,Ex,TA,Typ,None,Fin,TA,TA,None,None,2192,37,10
194,160,24.0,2522,7,5,2004,2004,50.0,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2004.0,2,380,0,40,0,0,0,0,0,5,2006,130000,RM,Pave,None,Lvl,Inside,Edwards,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Maj1,None,Unf,TA,TA,None,None,2679,2,12
1410,60,46.0,20544,7,6,1986,1991,123.0,0,0,791,791,1236,857,0,2093,0,0,2,1,3,1,7,1,1986.0,2,542,364,63,0,0,0,0,0,11,2008,215000,RL,Pave,None,Lvl,CulDSac,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,Gd,Gd,TA,No,Unf,Unf,Gd,TA,Typ,TA,Fin,TA,TA,None,MnPrv,2884,17,13
371,60,65.0,8121,6,5,2000,2000,0.0,0,0,953,953,953,711,0,1664,0,0,2,1,3,1,7,1,2000.0,2,460,100,40,0,0,0,0,0,1,2006,172400,RL,Pave,None,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,TA,RFn,TA,TA,None,None,2617,6,11
1094,20,71.0,9230,5,8,1965,1998,166.0,661,0,203,864,1200,0,0,1200,1,0,1,1,1,1,6,0,1977.0,2,884,0,64,0,0,0,0,0,10,2006,146000,RL,Pave,None,Lvl,Corner,NAmes,Feedr,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,Mn,GLQ,Unf,Gd,Gd,Typ,None,Unf,TA,TA,None,MnPrv,2064,8,13
584,75,75.0,13500,10,9,1893,2000,0.0,0,0,1237,1237,1521,1254,0,2775,0,0,3,1,3,1,9,1,1988.0,2,880,105,502,0,0,0,0,0,7,2008,325000,RM,Pave,None,Lvl,Inside,OldTown,Artery,PosA,1Fam,2.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Ex,Ex,TA,TA,No,Unf,Unf,Gd,Gd,Typ,Gd,Unf,Gd,TA,None,None,4012,8,19
23,20,75.0,9742,8,5,2002,2002,281.0,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2002.0,2,534,171,159,0,0,0,0,0,9,2008,230000,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,None,None,3572,6,13
1039,160,21.0,1533,4,6,1970,2008,0.0,0,0,546,546,798,546,0,1344,0,0,1,1,3,1,6,1,0.0,0,0,0,0,0,0,0,0,0,5,2009,97000,RM,Pave,None,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,None,CBlock,GasA,Y,SBrkr,None,Y,None,WD,Normal,Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,TA,None,None,None,None,None,1890,1,10
